datetime,open,high,low,close,volume
2023-03-21 09:00:00,21.662,22.277,21.571,22.082,2136039
2023-03-21 10:00:00,22.087,22.441,22.027,22.249,1678881
2023-03-21 11:00:00,22.249,22.52,22.162,22.434,1324625
2023-03-21 12:00:00,22.433,23.0,22.342,22.865,2675253
2023-03-21 13:00:00,22.866,23.138,22.728,23.062,3260976
2023-03-21 14:00:00,23.061,23.333,22.64,22.804,2566038
2023-03-21 15:00:00,22.804,23.041,22.767,22.909,1227558
2023-03-21 16:00:00,22.909,23.2,22.801,22.943,2028062
2023-03-21 17:00:00,22.94,23.013,22.469,22.535,2260350
2023-03-21 18:00:00,22.536,22.622,22.107,22.235,1779696
2023-03-21 19:00:00,22.236,22.582,22.188,22.52,1067365
2023-03-21 20:00:00,22.521,22.661,22.448,22.521,1115561
2023-03-21 21:00:00,22.521,22.579,22.224,22.488,1094382
2023-03-21 22:00:00,22.488,22.667,22.271,22.462,941584
2023-03-21 23:00:00,22.463,22.625,22.371,22.526,607999
2023-03-22 00:00:00,22.523,22.53,22.001,22.162,1107875
2023-03-22 01:00:00,22.162,22.246,22.03,22.193,775095
2023-03-22 02:00:00,22.193,22.314,22.144,22.249,551508
2023-03-22 03:00:00,22.25,22.47,22.211,22.302,740327
2023-03-22 04:00:00,22.298,22.399,22.265,22.375,493435
2023-03-22 05:00:00,22.377,22.545,22.337,22.515,690299
2023-03-22 06:00:00,22.515,22.549,22.329,22.441,569513
2023-03-22 07:00:00,22.441,22.546,22.209,22.307,864670
2023-03-22 08:00:00,22.308,22.33,22.103,22.124,817187
2023-03-22 09:00:00,22.124,22.339,22.095,22.189,993666
2023-03-22 10:00:00,22.189,22.704,22.162,22.492,1421443
2023-03-22 11:00:00,22.493,22.621,22.384,22.473,1234532
2023-03-22 12:00:00,22.473,22.649,22.402,22.453,917380
2023-03-22 13:00:00,22.452,22.647,22.31,22.476,1143578
2023-03-22 14:00:00,22.475,22.949,22.464,22.705,1576944
2023-03-22 15:00:00,22.705,23.094,22.534,22.624,1998279
2023-03-22 16:00:00,22.625,22.724,22.435,22.686,1204122
2023-03-22 17:00:00,22.69,22.742,22.3,22.585,1583335
2023-03-22 18:00:00,22.582,22.969,21.75,22.347,4900654
2023-03-22 19:00:00,22.346,22.365,20.918,21.089,5810948
2023-03-22 20:00:00,21.089,21.7,20.952,21.632,2604265
2023-03-22 21:00:00,21.631,21.837,21.205,21.22,1432502
2023-03-22 22:00:00,21.215,21.47,21.106,21.427,1311203
2023-03-22 23:00:00,21.427,21.531,21.371,21.404,754356
2023-03-23 00:00:00,21.403,21.587,21.235,21.393,994049
2023-03-23 01:00:00,21.393,21.435,21.173,21.182,676225
2023-03-23 02:00:00,21.182,21.455,21.08,21.422,674563
2023-03-23 03:00:00,21.423,21.45,21.239,21.259,504345
2023-03-23 04:00:00,21.259,21.426,21.179,21.274,525559
2023-03-23 05:00:00,21.273,21.617,21.231,21.559,723652
2023-03-23 06:00:00,21.559,21.654,21.482,21.514,619397
2023-03-23 07:00:00,21.513,21.723,21.481,21.691,487920
2023-03-23 08:00:00,21.69,21.791,21.63,21.688,749277
2023-03-23 09:00:00,21.688,21.698,21.573,21.671,595901
2023-03-23 10:00:00,21.67,21.79,21.662,21.725,608249
2023-03-23 11:00:00,21.725,21.769,21.558,21.744,630217
2023-03-23 12:00:00,21.745,21.784,21.624,21.644,638821
2023-03-23 13:00:00,21.643,21.669,21.405,21.46,1400833
2023-03-23 14:00:00,21.46,22.065,21.365,21.998,1688007
2023-03-23 15:00:00,21.992,22.745,21.969,22.392,3666668
2023-03-23 16:00:00,22.392,22.476,22.19,22.389,1304783
2023-03-23 17:00:00,22.388,22.75,22.219,22.279,2490050
2023-03-23 18:00:00,22.279,22.329,21.711,21.824,1570928
2023-03-23 19:00:00,21.828,22.14,21.695,22.079,1434945
2023-03-23 20:00:00,22.081,22.121,21.882,22.109,686415
2023-03-23 21:00:00,22.109,22.14,21.882,22.13,474594
2023-03-23 22:00:00,22.13,22.13,21.969,22.032,552730
2023-03-23 23:00:00,22.031,22.246,22.016,22.157,554762
2023-03-24 00:00:00,22.158,22.257,22.048,22.087,512548
2023-03-24 01:00:00,22.09,22.239,22.008,22.163,406254
2023-03-24 02:00:00,22.161,22.268,22.054,22.079,358289
2023-03-24 03:00:00,22.08,22.148,22.045,22.078,275594
2023-03-24 04:00:00,22.076,22.135,21.871,21.9,576417
2023-03-24 05:00:00,21.9,22.021,21.878,21.954,576339
2023-03-24 06:00:00,21.952,22.006,21.897,21.918,306098
2023-03-24 07:00:00,21.918,22.037,21.892,21.985,370331
2023-03-24 08:00:00,21.983,22.018,21.463,21.589,1452986
2023-03-24 09:00:00,21.587,21.786,21.553,21.568,736247
2023-03-24 10:00:00,21.569,21.634,21.442,21.631,699089
2023-03-24 11:00:00,21.631,21.733,21.001,21.402,1533574
2023-03-24 12:00:00,21.393,21.751,21.351,21.609,1155263
2023-03-24 13:00:00,21.609,21.636,21.302,21.555,994274
2023-03-24 14:00:00,21.555,21.733,21.361,21.433,1391017
2023-03-24 15:00:00,21.434,21.434,20.96,21.181,1811237
2023-03-24 16:00:00,21.18,21.309,20.942,20.962,1520429
2023-03-24 17:00:00,20.961,21.043,20.303,20.417,2767222
2023-03-24 18:00:00,20.417,20.789,20.26,20.69,1477242
2023-03-24 19:00:00,20.691,20.761,20.582,20.742,764409
2023-03-24 20:00:00,20.743,20.791,20.417,20.497,1162941
2023-03-24 21:00:00,20.494,20.643,20.322,20.598,1029054
2023-03-24 22:00:00,20.598,20.635,20.525,20.54,486402
2023-03-24 23:00:00,20.54,20.736,20.523,20.649,445909
2023-03-25 00:00:00,20.649,20.842,20.606,20.834,537148
2023-03-25 01:00:00,20.834,20.898,20.637,20.72,460500
2023-03-25 02:00:00,20.72,20.886,20.709,20.759,372214
2023-03-25 03:00:00,20.759,20.765,20.66,20.712,239601
2023-03-25 04:00:00,20.713,20.798,20.688,20.713,253675
2023-03-25 05:00:00,20.713,20.769,20.505,20.597,365389
