datetime,open,high,low,close,signals,trade_type,position
2023-07-09,21.807,22.392,21.0,21.314,0,hold,100
2023-07-10,21.315,21.788,20.434,21.286,0,hold,100
2023-07-11,21.286,22.38,21.187,22.05,0,hold,100
2023-07-12,22.049,23.059,21.738,21.928,0,hold,100
2023-07-13,21.928,26.887,21.349,26.018,0,hold,100
2023-07-14,26.018,33.579,25.22,26.671,0,hold,100
2023-07-15,26.67,29.111,26.424,27.459,0,hold,100
2023-07-16,27.46,28.708,26.379,27.404,0,hold,100
2023-07-17,27.403,28.488,25.5,26.79,0,hold,100
2023-07-18,26.79,27.098,24.751,25.544,0,hold,100
2023-07-19,25.543,26.984,25.34,26.298,0,hold,100
2023-07-20,26.3,27.386,25.0,25.365,0,hold,100
2023-07-21,25.365,25.996,25.029,25.493,0,hold,100
2023-07-22,25.494,25.965,23.95,24.512,0,hold,100
2023-07-23,24.512,25.249,24.128,24.752,0,hold,100
2023-07-24,24.752,24.832,22.76,23.354,0,hold,100
2023-07-25,23.353,23.58,22.7,23.264,-2,hold,100
2023-07-26,23.264,25.722,23.158,25.163,1,close Long & Short,100
2023-07-27,25.164,25.654,24.65,25.08,0,Exit Short,100
2023-07-28,25.079,25.555,24.518,24.798,0,hold,100
2023-07-29,24.799,25.378,24.724,25.159,0,hold,100
2023-07-30,25.159,25.2,23.396,24.236,0,hold,100
2023-07-31,24.236,24.769,23.5,23.716,0,hold,100
2023-08-01,23.717,24.07,22.6,24.045,0,hold,100
2023-08-02,24.045,24.276,22.743,23.135,0,hold,100
2023-08-03,23.135,23.386,22.402,22.634,-1,hold,100
2023-08-04,22.634,23.55,22.432,22.792,0,Short,100
2023-08-05,22.791,22.934,22.17,22.641,0,hold,100
2023-08-06,22.642,23.47,22.57,23.182,0,hold,100
2023-08-07,23.183,23.671,22.25,23.108,0,hold,100
2023-08-08,23.107,24.787,23.007,24.205,0,hold,100
2023-08-09,24.205,24.99,24.092,24.375,1,hold,100
2023-08-10,24.374,24.885,24.121,24.614,0,Exit Short,100
2023-08-11,24.615,24.932,24.34,24.613,0,hold,100
2023-08-12,24.613,25.3,24.383,24.902,0,hold,100
2023-08-13,24.903,24.944,24.207,24.216,0,hold,100
2023-08-14,24.217,25.29,24.044,25.175,0,hold,100
2023-08-15,25.176,25.5,23.477,23.889,0,hold,100
2023-08-16,23.888,24.012,22.3,22.811,-1,hold,100
2023-08-17,22.812,23.426,19.63,21.661,0,Short,100
2023-08-18,21.664,22.188,20.811,21.336,0,hold,100
2023-08-19,21.335,22.17,21.276,21.88,0,hold,100
2023-08-20,21.88,22.016,21.512,21.76,0,hold,100
2023-08-21,21.762,21.767,20.2,21.187,0,hold,100
2023-08-22,21.186,21.263,19.2,20.572,0,hold,100
2023-08-23,20.571,21.821,20.283,21.717,0,hold,100
2023-08-24,21.718,21.999,20.652,21.039,0,hold,100
2023-08-25,21.039,21.043,20.077,20.409,0,hold,100
2023-08-26,20.408,20.434,20.173,20.272,0,hold,100
2023-08-27,20.273,20.916,20.232,20.779,0,hold,100
